Country_Code,BR Code,Period,Client,risk_rating,Self_exclude_flag,Variable_21_Y0,Variable_1_Y1,Variable_9_Y0,Variable_2_Y0,Variable_13_Y1,Variable_14_Y0,Variable_27_Y1,Variable_22_Y0,Variable_12_Y0,Variable_22_Y1,Variable_25_Y0,Variable_30_Y0,Variable_30_Y1,Variable_3_Y0,Variable_19_Y0
0,0,2017Q2,0,7,1,569635.4974,612122.5165,603082.2689,618117.8854,579310.181,592690.4834,588731.5261,574223.7269,605911.7009,589579.8747,615628.9899,588163.8327,623659.1015,592374.2988,618894.6596
0,0,2016Q1,0,7,1,608572.6948,581513.6158,585387.2567,600708.6462,628400.28,627406.9151,580982.9388,577540.6642,623671.1326,578281.6222,583923.4597,591055.8212,592011.4052,595587.6726,630064.1267
0,0,2015Q4,0,7,1,587802.91,620338.8464,598712.7908,600221.3024,610811.1009,578597.6745,595190.8204,572907.5412,581512.0247,571843.0807,591576.1679,626221.0887,572241.0321,576546.0494,600410.7308
0,0,2015Q2,0,7,1,614676.4954,595630.8819,620889.121,609049.7509,619342.9203,569934.3829,574613.1826,627385.2012,626126.748,580911.8308,592747.4696,619098.6619,578761.7137,575206.3258,607121.675
0,2,2017Q3,3,4,1,617879.3224,597767.5476,610227.6189,610400.1604,591500.4963,615139.1936,572460.6821,618654.0762,612922.3331,616679.4378,576444.5368,587953.7487,615681.5151,598898.0024,594405.0138
0,2,2017Q1,3,6,1,596388.1062,581460.1655,629255.4576,620313.8761,569575.62,609696.482,585007.8503,627806.8041,614131.0154,598594.175,585671.9483,627507.4913,620118.4297,587027.2744,617999.8518
0,2,2016Q3,3,6,1,625629.6649,626388.217,625225.377,585483.7505,625024.8537,629204.2726,585175.7823,579883.565,593263.8539,573656.2721,585064.4353,574813.3003,588496.5795,581931.4709,619723.968
0,3,2014Q4,4,6,1,581583.7898,622806.7718,630822.7205,664374.5657,606699.3844,635856.5789,572888.8918,592123.8784,596148.7613,577836.2978,639994.7083,623280.5761,592444.2765,604033.3437,615705.0831
0,3,2019Q1,5,8,1,578083.5322,598154.9287,615234.6453,573431.02,599734.5143,591755.9419,603291.2684,578925.4286,577711.6957,601963.4145,595847.5063,598883.4067,587106.6485,624164.8055,600119.8016
0,3,2017Q4,5,8,1,572883.8738,571538.3274,573930.7333,614621.9685,608600.3494,588185.0942,608336.2394,579130.2185,592957.9351,607665.7869,575850.4657,618887.5801,588171.4894,595269.3189,590150.8881
0,4,2020Q1,6,9,0,626545.179,582282.8368,627852.7658,606463.7905,616544.6276,591858.3406,577331.0671,598283.2706,588246.1061,594872.6057,568659.0634,600112.512,626545.1412,590753.0613,592691.6309
0,4,2017Q4,6,7,1,591121.2818,592572.6877,574107.0691,573786.3331,583768.708,610228.9562,617636.6812,587806.1651,597035.38,569399.3614,590993.926,607640.9954,617066.4073,590194.6002,617035.8268
0,6,2019Q3,9,7,1,600975.463,585826.5999,581138.4479,592808.1323,592927.6358,613798.2189,611920.9201,595096.3042,608058.1337,613527.9249,611498.6054,576359.0849,576876.9438,571564.7757,588111.2434
0,8,2019Q4,12,6,1,624939.3565,581897.6546,605141.6026,614675.2737,614368.3967,598316.9398,582109.9962,624048.075,612719.3748,580922.1093,615349.5886,605073.4088,623835.3363,601819.8174,608100.4202
0,8,2019Q1,12,7,1,627341.789,576007.6609,603157.6032,630455.3627,628220.9818,604011.4663,581089.393,587837.0924,594725.2083,571202.4969,586870.8938,611842.9478,588894.0715,608088.1295,615316.5046
0,8,2017Q4,12,6,1,574624.6159,608208.4415,599043.7139,584561.4779,576060.8677,592313.5802,623982.2321,585485.4618,593901.0071,619113.9518,618286.4711,603753.1194,607819.4246,585491.9534,590334.9326
0,8,2015Q4,12,6,1,594762.7547,611651.3772,580314.8086,613371.813,626148.1996,609108.9343,597251.5649,621235.3296,595268.6409,576911.4544,577179.0701,569168.9276,605886.3107,611934.6449,587235.5956
0,8,2015Q1,12,2,1,589097.5534,598658.8718,579912.8409,611718.1522,605708.3826,592058.8793,604697.7664,589113.4005,584590.716,618507.4379,602052.7579,579714.379,576921.2404,569221.9271,583666.5857
1,5,2020Q1,13,5,1,571243.3338,616618.1388,621811.7897,591053.8781,577211.3907,595099.4767,622042.9171,600732.5609,570704.9439,586094.3902,613024.5315,617869.0165,627197.2784,582597.356,623804.5038
